Name,Category,Description,Review,Review Score
African Solstice,Herbal Tea,"From the soul of South Africa, this naturally caffeine-free, antioxidant-rich rooibos herb is layered with sweet berries and rose. A smooth and delicious cup.",651,4.9
Apricot Amaretto,Herbal Tea,The taste of juicy apricot and almond pair for a refreshing infusion.,170,4.6
Belgian Mint Tea,Herbal Tea,"Rich dark chocolate and cool peppermint: a classic dessert pairing.

NOTE: While this tea is herbal, it does contain a very small amount of caffeine that naturally occurs in the cocoa husk (approximately 0.5 - 3mg caffeine per serving).",115,4.8
Berry Basket,Black Tea,Sun-ripened berries and cornflower petals brighten up classic black tea.,49,4.7
Black Cherry,Black Tea,"Vanilla, licorice, and strawberry sweeten a classic flavor pairing.",92,4.3
Black Currant Tea,Black Tea,"A lush, fruity, sweet steep. Blackberry leaves add a floral note.",259,4.9
Blood Orange Tea,Black Tea,A bold ruby blend with a sweet zing. Delicious hot or iced.,104,4.5
Blueberry Merlot Tea,Herbal Tea,"AWARD WINNER: Best Herbal Tea at the North American Tea Championships.
A fruity, herbal blend with sweet berries and savory sage.",295,4.6
Bombay Chai Tea,Black Tea,A traditional blend of warming spices for a timeless ritual.,314,4.8
Caramel Nougat,Black Tea,"AWARD WINNER: at the North American Tea Championships 
A confectionary cup with the taste of sweet nougat.",201,4.6
Chai Matcha,Green Tea,This lightly spiced matcha blend marries cinnamon and ginger with earthy matcha powder and a hint of sweetness.,41,4.7
Chamomile Citron Tea,Herbal Tea,Sunny Egyptian chamomile brightened by herbs and flowers.,479,4.8
Cherry Amour,Herbal Tea,"A fruity blend of apple, berries, hibiscus, and licorice.",3,4.3
Cherry Blossom Hanami,Green Tea,"AWARD WINNER: 2018 Silver Medal at the Global Tea Championships 
A joyous pairing of tart cherries, flowers, and organic green tea. Named for the annual Japanese cherry blossom festival, each cup invites tea lovers around the world to breathe in and appreciate the fleeting beauty of spring flowers in bloom.",315,4.8
Cherry Cosmo Tea,Herbal Tea,Bright pink and fun-loving with the taste of cherry and berries.,106,4.5
Cherry Marzipan,Green Tea,Ripe cherries with the taste of almond.,191,4.7
Chocolate Matcha,Green Tea,"This sweet, dessert-like tea experience offers the familiar earthiness of matcha powder as well as the decadent taste of rich cocoa.",66,4.7
Chocolate Rose Tea,Black Tea,Lighten with milk for a decadent everyday indulgence.,131,4.4
Citrus Mint,Herbal Tea,"An herbal infusion of peppermint and citrus. Fantastic hot or on ice.
",242,4.7
Coconut Matcha,Green Tea,"This bright matcha blend both comforts and energizes those who drink it, bringing together the unexpected but highly pleasurable pairing of earthy matcha and sunny coconut.",51,4.6
Cucumber Mint,Green Tea,Cool spearmint and basil with a hint of sweet blueberries.,139,4.7
Darjeeling Quince Tea,Black Tea,"Citrus, quince, and hibiscus lend balance to a prized black tea.",64,4.8
Decaf Breakfast Tea,Black Tea,"This rich, raisiny, deep Ceylon tea is lovely black or with milk. Naturally decaffeinated.",147,4.8
Defense,Green Tea,"A defense-strengthening blend featuring echinacea, ginger and elderberry.",9,4.7
